
════════════════════════════════════════════════════════
    RITUAL OJOS — Beru rango MULTI (INVERSO USD)
    Santos: 1 · manos OFF · bridge PROPIO por Santo
    XRP
    FASE: HIERRO | SIM=True
════════════════════════════════════════════════════════

[RANGO] Levantando 1 puentes independientes (sin fila compartida)…
[RANGO] Flota multi 1 · cada uno pide a la API · sin disparos. Ctrl+C sella.

[2026-08-28 20:16:43] [IGRIS] LEVERAGE_MAX_OK: XRP · XRPUSD (inverse): 50x (techo catálogo)
[2026-08-28 20:16:43] [IGRIS] LEVERAGE_MAX_OK: XRP · XRPUSDT (linear): 100x (techo catálogo)
[RANGO] apalanc máx XRP: XRPUSD=50x(inverse), XRPUSDT=100x(linear)
[2026-08-28 20:16:44] [BERU_RANGO] WAKE: RANGO_XRP_2f37db52 0=1.382600 Vacío ±1.2% → trailing Oz 0.2% · masa $5.00 · Red→$5.
[BERU_RANGO] WAKE RANGO_XRP_2f37db52 0=1.3826 precio=1.3826 masa_usd=5.0
[RANGO] Wake XRPUSD_INVERSE 0=1.3826 · manos=OFF · mercado=inverse · bridge=PROPIO · pid=6500
[TANK] Trinidad 22 activos | pentiverso ['LTC', 'BTC'] | beru ['ETHUSDT_SPOT'] | ref: ETH (HIERRO).
[RANGO] XRPUSD_INVERSE last=1.3816 · río=ciego/muleta · estado=ACECHANDO · manos=OFF · mercado=inverse · pid=6500 · bridge=PROPIO
[RANGO] XRPUSD_INVERSE last=1.3818 · río=ciego/muleta · estado=ACECHANDO · manos=OFF · mercado=inverse · pid=6500 · bridge=PROPIO
[RANGO] XRPUSD_INVERSE last=1.3815 · río=ciego/muleta · estado=ACECHANDO · manos=OFF · mercado=inverse · pid=6500 · bridge=PROPIO
[RANGO] XRPUSD_INVERSE last=1.3817 · río=ciego/muleta · estado=ACECHANDO · manos=OFF · mercado=inverse · pid=6500 · bridge=PROPIO
[RANGO] XRPUSD_INVERSE last=1.3816 · río=ciego/muleta · estado=ACECHANDO · manos=OFF · mercado=inverse · pid=6500 · bridge=PROPIO
[RANGO] XRPUSD_INVERSE last=1.3817 · río=ciego/muleta · estado=ACECHANDO · manos=OFF · mercado=inverse · pid=6500 · bridge=PROPIO
[RANGO] XRPUSD_INVERSE last=1.3822 · río=ciego/muleta · estado=ACECHANDO · manos=OFF · mercado=inverse · pid=6500 · bridge=PROPIO
[RANGO] XRPUSD_INVERSE last=1.3826 · río=ciego/muleta · estado=ACECHANDO · manos=OFF · mercado=inverse · pid=6500 · bridge=PROPIO
[RANGO] XRPUSD_INVERSE last=1.3828 · río=ciego/muleta · estado=ACECHANDO · manos=OFF · mercado=inverse · pid=6500 · bridge=PROPIO
[RANGO] XRPUSD_INVERSE last=1.3832 · río=ciego/muleta · estado=ACECHANDO · manos=OFF · mercado=inverse · pid=6500 · bridge=PROPIO
[RANGO] XRPUSD_INVERSE last=1.3839 · río=ciego/muleta · estado=ACECHANDO · manos=OFF · mercado=inverse · pid=6500 · bridge=PROPIO
[RANGO] XRPUSD_INVERSE last=1.384 · río=ciego/muleta · estado=ACECHANDO · manos=OFF · mercado=inverse · pid=6500 · bridge=PROPIO
[RANGO] XRPUSD_INVERSE last=1.3837 · río=ciego/muleta · estado=ACECHANDO · manos=OFF · mercado=inverse · pid=6500 · bridge=PROPIO
[RANGO] XRPUSD_INVERSE last=1.3836 · río=ciego/muleta · estado=ACECHANDO · manos=OFF · mercado=inverse · pid=6500 · bridge=PROPIO
[RANGO] XRPUSD_INVERSE last=1.3835 · río=ciego/muleta · estado=ACECHANDO · manos=OFF · mercado=inverse · pid=6500 · bridge=PROPIO
