
════════════════════════════════════════════════════════
    RITUAL OJOS — Beru rango MULTI (lineal USDT)
    Santos: 1 · manos OFF · bridge PROPIO por Santo
    1INCH
    FASE: HIERRO | SIM=True
    Oído: tratos públicos ON (mecha trato a trato) · libros OFF
════════════════════════════════════════════════════════

[RANGO] Levantando 1 puentes independientes (sin fila compartida)…
[RANGO] Flota multi 1 · cada uno pide a la API · sin disparos. Ctrl+C sella.

[2026-09-01 20:30:36] [BERU_RANGO] WAKE: RANGO_1INCH_1a9bf2e1 0=0.088640 Vacío ±1.2% → trailing Oz 0.2% · masa $0.20 · Red→$0.
[BERU_RANGO] WAKE RANGO_1INCH_1a9bf2e1 0=0.08864 precio=0.08864 masa_usd=0.2
[RANGO] Wake 1INCH 0=0.08864 · manos=OFF · bridge=PROPIO · pid=21076
[TANK] Trinidad 22 activos | pentiverso ['LTC', 'BTC'] | beru ['ETHUSDT_SPOT'] | ref: BTC (HIERRO).
[2026-09-01 20:30:36] [OKX_BRIDGE] OJOS: WS tickers SWAP · 1 inst · bases=1INCH
[RANGO] 1INCHUSDT_LINEAL last=0.08872 · río=WS · estado=ACECHANDO · manos=OFF · pid=21076 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08872 · río=WS · estado=ACECHANDO · manos=OFF · pid=21076 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08878 · río=WS · estado=ACECHANDO · manos=OFF · pid=21076 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08876 · río=WS · estado=ACECHANDO · manos=OFF · pid=21076 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.0888 · río=WS · estado=ACECHANDO · manos=OFF · pid=21076 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08886 · río=WS · estado=ACECHANDO · manos=OFF · pid=21076 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08899 · río=WS · estado=ACECHANDO · manos=OFF · pid=21076 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08893 · río=WS · estado=ACECHANDO · manos=OFF · pid=21076 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08895 · río=WS · estado=ACECHANDO · manos=OFF · pid=21076 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08897 · río=WS · estado=ACECHANDO · manos=OFF · pid=21076 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.0889 · río=WS · estado=ACECHANDO · manos=OFF · pid=21076 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08887 · río=WS · estado=ACECHANDO · manos=OFF · pid=21076 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08891 · río=WS · estado=ACECHANDO · manos=OFF · pid=21076 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08889 · río=WS · estado=ACECHANDO · manos=OFF · pid=21076 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08889 · río=WS · estado=ACECHANDO · manos=OFF · pid=21076 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08911 · río=WS · estado=ACECHANDO · manos=OFF · pid=21076 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08913 · río=WS · estado=ACECHANDO · manos=OFF · pid=21076 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08911 · río=WS · estado=ACECHANDO · manos=OFF · pid=21076 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08911 · río=WS · estado=ACECHANDO · manos=OFF · pid=21076 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08904 · río=WS · estado=ACECHANDO · manos=OFF · pid=21076 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08901 · río=WS · estado=ACECHANDO · manos=OFF · pid=21076 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08901 · río=WS · estado=ACECHANDO · manos=OFF · pid=21076 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08901 · río=WS · estado=ACECHANDO · manos=OFF · pid=21076 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08912 · río=WS · estado=ACECHANDO · manos=OFF · pid=21076 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08912 · río=WS · estado=ACECHANDO · manos=OFF · pid=21076 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08912 · río=WS · estado=ACECHANDO · manos=OFF · pid=21076 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08912 · río=WS · estado=ACECHANDO · manos=OFF · pid=21076 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08904 · río=WS · estado=ACECHANDO · manos=OFF · pid=21076 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08901 · río=WS · estado=ACECHANDO · manos=OFF · pid=21076 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08901 · río=WS · estado=ACECHANDO · manos=OFF · pid=21076 · bridge=PROPIO
